city,country,description,temperature,humidity,pressure,wind_speed,icon,sunrise,sunset
Resistencia,AR,clear sky,34.09,33,1006,6.69,01d,07:24:56,18:35:29
Resistencia,AR,clear sky,34.49,41,1005,5.87,01d,07:24:56,18:35:29
Resistencia,AR,clear sky,34.49,41,1005,5.87,01d,07:24:56,18:35:29
Resistencia,AR,clear sky,34.89,31,1005,6.69,01d,07:24:56,18:35:29
Resistencia,AR,clear sky,34.89,31,1005,6.69,01d,07:24:56,18:35:29
Resistencia,AR,clear sky,34.99,31,1005,6.69,01d,07:24:56,18:35:29
Resistencia,AR,clear sky,34.99,31,1005,6.69,01d,07:24:56,18:35:29
